noun_phrase,count
china,888
asean,53
xi jinping,50
lac,40
forum,39
initiative,38
africa,34
world peace,34
ladies,34
peninsula,33
bri,32
wang yi,32
international community,31
uae,30
new era,28
congress,28
mr.,27
xi,25
senegal,25
dprk,24
li,24
indonesia,24
international cooperation,23
gentlemen,23
russia,22
economic globalization,22
international relations,21
’ s,21
gms,21
40th anniversary,19
common development,19
win-win cooperation,19
peaceful development,19
china-lac,19
asia,18
road cooperation,18
ipr,18
us $,17
's development,17
mutual trust,17
chinese economy,17
china-africa,16
african,16
free trade,16
new type,16
charter,16
korean peninsula,16
nuclear issue,16
thank,16
chinese people,16
recent years,15
security council,15
america,15
year marks,14
september,14
chinese characteristics,14
japan,14
sco,14
fourth,14
gdp,14
economic growth,14
foreign policy,13
china-us,13
mutual respect,13
summit,13
global governance,13
sustainable development,13
global growth,13
silk,13
new drivers,13
general secretary,12
cpc,12
shanghai,12
china-russia,12
world economy,12
trade war,12
economic development,12
internet,12
communist party,11
expo,11
europe,11
ministerial meeting,11
mutual benefit,11
chinese government,11
foreign minister,11
world 's,10
china-celac forum,10
china-japan,10
international order,10
wto,10
myanmar,10
people 's republic,10
common interests,10
practical cooperation,10
international affairs,10
going,10
xi jinping thought,9
international import,9
prime,9
china-asean,9
global governance system,9
jcpoa,9
hong kong,9
ministry,9
international rules,9
mutual learning,9
nelson mandela,9
beijing,9
new industrial revolution,9
arab,9
taiwan,9
past year,8
central committee,8
african countries,8
national conditions,8
's reform,8
li keqiang,8
steady growth,8
comprehensive strategic partnership,8
high-quality development,8
agenda,8
global peace,8
universal security,8
h.e,8
annual meeting,8
financial sector,8
’ s development,8
's economy,8
era,8
major-country diplomacy,7
new round,7
market access,7
november,7
international organizations,7
open world economy,7
south-south,7
brics,7
major countries,7
diplomatic relations,7
india,7
friendship,7
political settlement,7
own development,7
common prosperity,7
mutual understanding,7
councilor,7
chinese companies,7
property rights,7
march,7
may,7
distinguished,7
new forms,7
senegalese,7
china-uae,7
tsinghua,7
financial risks,7
january,7
great pleasure,6
international system,6
comrade xi jinping,6
new prospects,6
new progress,6
opening ceremony,6
ciie,6
cooperation organization,6
focac,6
state visit,6
china-eu,6
china-india,6
member states,6
iranian,6
bangladesh,6
syria,6
macao,6
global economy,6
global recovery,6
guided,6
development path,6
rapid growth,6
joint efforts,6
chinese market,6
concrete actions,6
korean,6
legitimate rights,6
services sector,6
intellectual property rights,6
foreign investment,6
vat,6
government functions,6
government services,6
market principles,6
economic structure,6
china-senegal,6
strategic partnership,6
extensive consultation,6
joint contribution,6
socialism,6
characteristics,6
press conference,6
caribbean,6
