noun_phrase,count
china,351
global,49
asia,48
’ s,36
sco,36
u.n.,34
lac,29
global governance,28
initiative,28
asean,27
ai,26
xi jinping,25
80th anniversary,25
viet nam,24
member states,22
malaysia,22
anti-fascist,21
economic globalization,20
chinese people,20
aggression,20
ladies,19
gentlemen,19
chinese economy,19
h.e,18
chinese people ’ s war,18
resistance against,18
people ’ s republic,17
chinese modernization,17
brics,17
colleagues,15
mutual benefit,15
global development,15
common development,15
mutual trust,15
international community,14
mutual learning,14
thank,14
international order,14
international system,14
beijing,13
sustainable development,13
year marks,13
your excellency,13
gcc,13
fourth,12
us $,12
international law,12
win-win cooperation,12
central asian countries,12
china-viet nam,12
distinguished colleagues,11
chinese government,11
high-quality development,11
road cooperation,11
chinese nation,11
true multilateralism,11
world peace,11
inclusive economic globalization,11
economic growth,11
artificial intelligence,11
communist party,10
global civilization initiative,10
history,10
distinguished,10
extensive consultation,10
joint contribution,10
international relations,10
together,10
meeting,9
global governance system,9
shanghai,9
cooperation organization,9
central committee,9
international cooperation,9
climate,9
international fairness,9
multipolar world,9
people-to-people exchanges,9
taiwan,8
common interests,8
ai+,8
tianjin,8
world ’ s,8
u.n.-centered,8
orderly multipolar world,8
xi,8
china-central asia,8
winter,8
green development,7
comrades,7
state council,7
september,7
eighty,7
global economy,7
high-quality belt,7
productive forces,7
paris agreement,7
recent years,7
u.n. charter,7
countries,7
gdi,7
technological innovation,7
shanghai spirit,7
digital economy,7
prime,7
summit,7
great pleasure,7
china-lac,7
russia,7
soviet union,7
asian community,7
harbin,7
opening ceremony,6
global governance initiative,6
social development,6
international organizations,6
great rejuvenation,6
international environment,6
international rule,6
low-carbon development,6
positive energy,6
ii,6
green transition,6
regional affairs,6
world war,6
development strategies,6
li qiang,6
beneficial cooperation,6
world conference,5
human civilization,5
all-round development,5
concrete actions,5
industrial transformation,5
new chapter,5
equitable global governance system,5
agenda,5
new era,5
ethnic groups,5
common values,5
cold,5
domestic demand,5
new quality,5
industrial chain,5
going,5
global peace,5
silva,5
ndcs,5
north-south,5
mutual respect,5
wto,5
forum,5
power politics,5
enhance cooperation,5
trilateral cooperation,5
caribbean,5
soviet union ’ s,5
patriotic,5
diplomatic relations,5
general secretary,5
boao forum,5
davos,5
important role,4
women ’ s,4
looking,4
new journey,4
full success,4
solid steps,4
territorial integrity,4
cheers,4
world wars,4
world 's,4
human society,4
major countries,4
international rules,4
security council,4
global economic growth,4
complete new energy,4
luiz inácio lula,4
full text,4
practical cooperation,4
carrying,4
bloc confrontation,4
trade wars,4
south countries,4
right side,4
peaceful development,4
bright future,4
friendly exchanges,4
mutual understanding,4
economic cooperation,4
luban,4
independence,4
ten,4
development opportunities,4
kazakhstan,4
china-central asia spirit,4
mutual support,4
may,4
gdp,4
major economies,4
