noun_phrase,count
china,1663
africa,226
china-us,214
african,134
sustainable development,111
europe,110
ladies,102
gentlemen,101
bilateral relations,101
eu,91
asia,90
china-africa,88
xi,83
common development,82
japan,77
china-eu,75
sco,75
mutual benefit,74
hu,74
international community,73
us $,66
yang,65
china-japan,62
international financial crisis,59
arab,58
world peace,56
hu jintao,53
asean,53
dear,51
new type,50
forum,50
world economy,49
mutual trust,49
member states,49
cooperative partnership,47
india,46
practical cooperation,45
chinese government,44
economic growth,44
wen,44
mutual understanding,43
social development,42
thank,42
mutual respect,42
asia-pacific,41
environmental protection,41
people-to-people exchanges,41
ireland,40
strategic partnership,39
russia,39
chinese people,38
's development,38
peaceful development,38
economic cooperation,38
beneficial cooperation,38
common interests,38
vice president,38
nuclear security,38
win-win cooperation,37
summit,36
people 's republic,35
brics,35
diplomatic relations,34
's visit,34
fourth,33
prime,33
major countries,33
obama,33
ed,33
economic recovery,32
recent years,31
international affairs,30
international cooperation,30
east european countries,30
foreign minister,30
china-india,30
apec,29
beijing,28
business cooperation,28
eurasian,28
international situation,27
african countries,27
mongolia,27
g20,26
au,26
germany,26
people 's,25
economic development,25
joint efforts,25
china-asean,25
rok,25
ldcs,25
international relations,24
wen jiabao,24
40th anniversary,24
bilateral ties,24
h.e,23
important role,23
bilateral cooperation,23
cultural exchanges,23
great importance,23
traditional friendship,23
chinese companies,23
poland,23
economic globalization,22
china-arab,22
enhance cooperation,22
comprehensive strategic partnership,21
jia,21
various fields,21
common prosperity,21
shanghai,21
world 's,20
meeting,20
steady growth,20
food security,20
xi jinping,20
political mutual trust,20
regional peace,20
high-level exchanges,20
focac,20
asian countries,20
fundamental interests,19
energy conservation,19
state council,19
rmb,19
regional cooperation,19
regional issues,18
gdp,18
five-year,18
friendship,18
korean peninsula,18
yang jiechi,18
china-russia,18
important agreement,18
denmark,18
people-to-people exchange,18
economic dialogue,18
cpc,17
trade cooperation,17
huge potential,17
us dollars,17
opening ceremony,17
deepen cooperation,17
mutual visits,17
strategic cooperation,17
people-to-people,17
growth model,16
global economy,16
win-win results,16
great pleasure,16
june,16
important consensus,16
iranian,16
nuclear issue,16
dialogues,16
pragmatic cooperation,16
sweden,16
looking,15
economic structure,15
's diplomacy,15
domestic demand,15
asem,15
western region,15
may,15
january,15
energy cooperation,15
strategic mutual trust,15
common ground,15
constructive role,14
european countries,14
technological innovation,14
fruitful results,14
new chapter,14
energy security,14
new prospects,14
warm congratulations,14
regional affairs,14
friendly cooperation,14
eas,14
green economy,14
active part,13
congress,13
prosperous society,13
dear colleagues,13
rural areas,13
internal affairs,13
solid foundation,13
chinese economy,13
imf,13
strategic dialogue,13
nuclear energy,13
's core interests,13
such cooperation,13
renewable energy,13
diaoyu dao,13
development path,13
global governance,13
great significance,13
us side,13
