noun_phrase,count
china,1536
g20,140
asia,114
africa,99
world economy,92
arab,92
win-win cooperation,70
sustainable development,63
common development,61
international relations,61
xi jinping,60
international community,58
china-us,56
chinese economy,52
ladies,48
african,47
asean,46
gentlemen,46
hangzhou summit,43
international law,43
iran,42
g20 hangzhou summit,41
philippines,40
nuclear issue,39
europe,39
silk,37
hangzhou,34
summit,33
china-africa,33
xi,32
us $,32
agenda,31
lancang-mekong,31
world peace,30
saudi arabia,30
’ s,30
charter,30
nuclear security,30
chinese people,29
brics,29
chinese government,29
wang yi,29
sea issue,27
cpc,26
forum,26
iranian,26
economic growth,25
new type,25
common interests,24
egypt,24
initiative,24
unclos,24
mekong,24
international order,23
countries,23
maritime rights,23
guangxi,23
's development,23
peaceful development,23
eu,23
dear,22
mutual learning,22
doc,22
global growth,21
beijing,21
mutual trust,21
fourth,21
global economic governance,21
september,21
mutual understanding,21
economic development,21
czech,21
peninsula,20
france,20
rmb,20
gdp,20
structural reform,19
practical cooperation,19
beneficial cooperation,19
recent years,19
international cooperation,19
thank,19
paris agreement,18
mutual respect,18
people 's republic,18
china-eu,18
mutual benefit,18
peaceful settlement,18
arbitral tribunal,18
syria,17
china-arab,17
jcpoa,17
central committee,16
regional peace,16
asian countries,16
world 's,16
japan,16
comrade xi jinping,15
meeting,15
asia-pacific,15
bilateral relations,15
eurasian,15
joint efforts,15
russia,15
maritime silk,15
economic transformation,15
whole world,15
nansha,15
palestinian,15
economic globalization,14
congress,14
political mutual trust,14
common ground,14
cultural exchanges,14
dprk,14
g20 summit,13
year 's,13
korean peninsula,13
ningxia,13
dear colleagues,13
new model,13
asian community,13
global economy,13
economic recovery,13
economic belt,13
production capacity,13
korean,13
india,13
distinguished,12
global governance,12
certain countries,12
china-asean,12
afghanistan,12
active part,12
new vision,12
infrastructure,12
investment bank,12
sudan,12
general secretary,12
development strategies,12
steady growth,12
chinese dream,12
h.e,12
yang jiechi,12
nuclear,12
’ re,12
new progress,11
new era,11
international organizations,11
sustainable security,11
chinese characteristics,11
cica,11
business cooperation,11
global trade,11
syrian,11
action plan,11
member states,11
major economies,11
global,11
production capacity cooperation,11
new economy,11
lmc,11
looking,10
's diplomacy,10
regional cooperation,10
li keqiang,10
constructive role,10
ministry,10
thanks,10
five-year,10
dialogue,10
internet,10
regional organizations,10
common prosperity,10
root causes,10
chinese features,10
reporter,10
vietnam,10
nuclear energy,10
early date,9
state visit,9
traditional friendship,9
shanghai,9
six-party talks,9
countries need,9
comprehensive strategic partnership,9
july,9
's sovereignty,9
major-country diplomacy,9
prosperous society,9
win-win outcomes,9
ed,9
march,9
political settlement,9
public goods,9
chinese president,9
people 's,9
new path,9
international economic cooperation,9
own development,9
