entity,count
China,1785
Chinese,363
ASEAN,181
Japan,174
the United States,119
Asia,94
Germany,90
Europe,76
European,65
German,64
Indonesia,59
Hu Jintao,46
East Asian,40
Russia,39
Libya,37
Asian,33
Africa,31
ROK,31
Japanese,29
Afghanistan,27
APEC,27
East Asia,27
Pakistan,25
Northeast Asia,24
American,24
WTO,23
Central Asian,19
the United Nations,18
the Peoples Republic of China,17
SCO,17
FTA,16
Netherlands,16
the Asia-Pacific region,15
Wen Jiabao,14
African,14
France,14
Uzbekistan,14
Obama,13
the Asia-Pacific,13
Denmark,13
the Korean Peninsula,12
Wen,12
Indonesian,11
Gentlemen,11
India,11
Organization,11
Dear Colleagues,10
HE Hu Jintao,10
the European Union,10
North,10
South,10
Treaty,10
The United States,10
Pakistani,9
Taiwan,9
DPRK,9
Councilor Dai Bingguo,8
Wenchuan,8
Afghan,8
Cannes,8
North-South,8
Beijing,8
State,7
Southeast Asia,7
the South China Sea,7
South-South,7
Committee,7
Peninsula,7
the Canton Fair,7
Syria,7
Libyan,7
EAS,7
Washington DC,7
Geithner,7
Clinton,7
Yang,6
Wu Bangguo,6
the East Asia Summit,6
Korean,6
West Asia,6
CPC,6
Bali,6
Yudhoyono,6
west Asia,6
APT,6
the UN Charter,6
London,6
Party,6
east European,6
Jakarta,6
Yang Jiechi,5
Latin America,5
North Africa,5
New China,5
Peaceful Development,5
Speech,5
the G Summit,5
Shanghai,5
HE Wen Jiabao,5
the State Council of the Peoples Republic of China,5
Danish,5
Britain,5
NTC,5
the National Committee on US-China Relations,5
Deng Xiaoping,5
Russian,5
the UN Security Council,4
Israel,4
the CPC Central Committee,4
the State Council,4
the Shanghai Cooperation Organization,4
BRICS,4
Pacific,4
Sarkozy,4
Zheng,4
Myanmar,4
Taizo Nishimura,4
the UN Millennium Development Goals,4
South Sudan,4
Karimov,4
South Korea,4
Biden,4
Indian,4
Shenzhen,4
DOC,4
ARF,4
Germans,4
Oriental,4
Naoto Kan,4
Washington,4
Bandung,4
Oregon,4
Zhou Enlai,3
Middle East,3
Jia Qinglin,3
CPC Central Committee,3
Susilo Bambang Yudhoyono,3
Thailand,3
Hawaii,3
Yokohama,3
the Asia Pacific,3
French,3
Dutch,3
the China-ASEAN Friendship and Exchange Year,3
Brunei,3
Indian Ocean,3
the Chinese Committee,3
the Japanese Embassy,3
Caofeidian,3
Secretariat,3
the China Import and Export Fair,3
the Millennium Development Goals,3
New York,3
Sudan,3
the Middle East,3
Laos,3
Kissinger,3
Barack Obama,3
the Peoples Republic,3
the World Economic Forum,3
Schwab,3
the International University Sports Federation,3
Universiade,3
East Asia Summit,3
Angela Merkel,3
British,3
Budapest,3
Dmitry Medvedev,3
SPIEF,3
the Shanghai Spirit,3
the Pacific Ocean,3
Wang Qishan,3
BFA,3
Asians,3
the College Board,3
the Asia Society,3
Caperton,3
Desai,3
Confucius,3
South Asia,2
Palestine,2
Iran,2
Asia-Pacific,2
Tibet,2
Sanya,2
China-Africa Cooperation,2
Bonn,2
the East Asia Free Trade Area,2
the Comprehensive Economic Partnership for East Asia,2
Nanning,2
Guangxi,2
the Doha Round,2
the World Trade Organization,2
SDR,2
IMF,2
Berlin,2
Sino-German,2
the China Import and Export Fair Canton Fair,2
Summit,2
Plan,2
