noun_phrase,count
china,652
asia,106
africa,98
african,60
asean,55
sco,54
international community,51
common development,51
japan,45
europe,43
hu,42
chinese government,39
ladies,36
chinese people,35
gentlemen,35
economic development,34
china-africa,34
singapore,33
taiwan,33
asia-pacific,33
mutual benefit,32
china-asean,30
dear,28
rok,27
china-us,26
mutual trust,24
sustainable development,24
wen,24
member states,24
's development,23
peaceful development,22
dialogue,22
economic globalization,22
beneficial cooperation,22
us $,21
economic growth,21
economic cooperation,21
common interests,20
practical cooperation,20
thank,19
forum,19
apec,19
china-japan,19
iraq,19
climate,18
social development,18
prime,18
shanghai,18
hu jintao,18
world economy,18
fourth,18
australia,18
sustainable future,18
harmonious world,17
dear colleagues,17
international cooperation,17
world peace,16
environmental protection,16
russia,16
saarc,16
congress,14
business relations,14
common ground,14
summit,14
common prosperity,13
international affairs,13
state council,13
product quality,13
wen jiabao,13
regional cooperation,12
mutual understanding,12
thanks,12
trade cooperation,12
yang,12
strategic partnership,12
people 's republic,11
gdp,11
kingdom,11
fundamental interests,11
technological innovation,11
li,11
mr.,10
foreign minister,10
business ties,10
joint efforts,10
meeting,10
sino-u.s.,10
opening ceremony,10
yang jiechi,9
past year,9
mdgs,9
beijing,9
recent years,9
international issues,9
's strengths,9
cooperation organization,9
food safety,9
nuclear issue,9
deepen cooperation,9
full play,9
african countries,9
early date,9
arf,9
beijing summit,9
ici,9
profound changes,8
north-south,8
social progress,8
central asian countries,8
traditional friendship,8
win-win progress,8
september,8
uk,8
technological cooperation,8
china-eu,8
eu,8
u.s.,8
bilateral ties,8
fta,8
may,8
adb,8
young people,8
all-round way,7
millennium,7
goals,7
framework,7
turkmenistan,7
warm congratulations,7
trade protectionism,7
agreement,7
policy measures,7
reform,7
political mutual trust,7
national conditions,7
global economy,7
international development cooperation,7
enhance cooperation,7
mutual respect,7
china-russia,7
friendship,7
regional economic cooperation,7
iraqi,7
sustainable growth,7
win-win cooperation,7
co2,7
international trade,7
wto,7
security cooperation,7
china-rok,7
avian influenza,7
east asian countries,7
independent foreign policy,6
countries,6
important role,6
unfccc,6
kyoto protocol,6
foreign policy,6
diplomatic ties,6
politically,6
various fields,6
harmonious development,6
priority areas,6
bilateral cooperation,6
own development,6
comprehensive strategic partnership,6
iranian,6
harmonious society,6
communicable diseases,6
doha,6
mutual benefits,6
cooperation mechanisms,6
long-term good-neighborliness,6
pragmatic cooperation,6
joint statement,6
intellectual property rights,6
energy efficiency,6
energy security,6
steady growth,6
new type,6
april,6
international law,6
wu,6
poverty alleviation,6
bright future,6
new progress,5
international organizations,5
core mechanism,5
human rights,5
darfur,5
communist party,5
fast economic growth,5
non-traditional security threats,5
top priority,5
national development,5
policy steps,5
investment environment,5
trade imbalance,5
paulson,5
economic structure,5
speech,5
