noun_phrase,count
china,921
africa,104
trade cooperation,92
asia,89
us $,75
forum,72
sco,65
asean,63
brazil,63
african,62
hu,59
chinese people,57
taiwan,53
chile,50
china-africa,49
member states,49
common development,47
arab,45
mutual benefit,43
ladies,41
chinese government,39
china-chile,37
mutual trust,36
summit,33
international community,32
world peace,32
china-arab,32
afghanistan,31
china-asean,28
gentlemen,27
economic development,27
beneficial cooperation,27
america,27
bilateral relations,26
wu,26
gdp,24
regional cooperation,24
strategic partnership,24
's development,22
peaceful development,22
nam,22
npc,22
brazilian,22
india,21
economic cooperation,21
dear,20
mutual understanding,20
wto,20
latin american countries,20
hu jintao,19
eu,19
chilean,19
common prosperity,18
people 's republic,18
international cooperation,18
economic globalization,18
common interests,18
asem,18
international affairs,17
thank,17
joint efforts,17
mr.,17
social development,16
sustainable development,16
ipr,16
trade relations,15
recent years,15
bilateral cooperation,15
chinese companies,15
international relations,15
nuclear issue,15
standing,15
congress,15
global peace,14
europe,14
full play,14
cpc,14
south-south,14
regional issues,14
bilateral trade,13
november,13
important speech,13
business communities,13
new type,13
china-eu,13
doha,12
technological cooperation,12
ministerial meeting,12
communicable diseases,12
wu bangguo,12
taiwan straits,12
afghan,12
beijing,11
economic growth,11
bilateral trade volume,11
mutual investment,11
fourth,11
new level,11
traditional friendship,11
cultural exchanges,11
diplomatic ties,11
opening ceremony,11
environmental protection,11
win-win cooperation,11
asian countries,11
straits,11
may,11
shanghai,11
chinese characteristics,10
rural areas,10
great importance,10
harmonious world,10
investment cooperation,10
pragmatic cooperation,10
peaceful reunification,10
friendly cooperation,10
madam,10
september,10
cross-straits relations,10
li zhaoxing,10
romania,10
dear colleagues,9
ministry,9
new era,9
charter,9
social progress,9
favorable conditions,9
mutual benefits,9
economic construction,9
partnership,9
warm congratulations,9
foreign minister,9
new chapter,9
chinese side,9
arabic,9
international organizations,8
u.s.,8
rmb yuan,8
political system,8
bilateral ties,8
tangible benefits,8
people-to-people exchanges,8
mutual support,8
business ties,8
full use,8
june,8
asia-europe,8
iranian,8
global energy security,8
smes,8
important part,8
large projects,8
political mutual trust,8
cooper resources,8
infrastructure construction,8
china-brazil,8
separatist forces,8
russia,8
distinguished,7
un reform,7
outside world,7
national strength,7
sticking,7
rapid growth,7
's economy,7
great potential,7
constructive role,7
friendly exchanges,7
new stage,7
new ways,7
rapid economic growth,7
central committee,7
important platform,7
collective dialogue,7
millennium,7
goals,7
solid foundation,7
non-traditional security threats,7
human resources development,7
common interest,7
mutual respect,7
priority areas,7
energy,7
g77,7
energy security,7
political development road,7
free trade agreement,7
's visit,7
cooperation organization,7
china-latin america,7
mineral resources,7
journalist,7
romanian,7
china-us,7
human society,6
state council,6
according,6
rural development,6
energy consumption,6
currently,6
