entity,count
China,2171
Chinese,391
Africa,219
African,155
Japan,133
the United States,127
Europe,92
SCO,71
India,70
European,67
Yang,65
Russia,59
Arab,56
ASEAN,52
China-Africa,52
Asia,49
Hu Jintao,49
Central,47
Ireland,45
Wen,44
Asian,35
American,34
Obama,33
East European,32
Germany,32
Turkey,31
Eurasian,28
APEC,27
Mongolia,26
Poland,26
Beijing,25
Japanese,25
ROK,23
Irish,23
Jia,21
BRICS,21
Yang Jiechi,21
Indian,21
the Peoples Republic of China,19
FOCAC,17
Denmark,17
Iranian,16
Sweden,16
Russian,14
Cambodia,14
EAS,14
Wen Jiabao,14
Asia-Pacific,13
the Asia-Pacific,13
IMF,13
Xi Jinping,13
Eastern European,13
Taiwan,12
Italian,12
Xinjiang,12
Diaoyu Dao,12
the Korean Peninsula,12
Syria,12
Los Cabos,12
Turkish,12
the State Council of the Peoples Republic of China,11
Gentlemen,11
the Middle East,11
Italy,10
Afghanistan,10
Ethiopia,10
Nixon,10
Tibet,10
Mexico,10
German,10
Danish,10
State,9
HE Wen Jiabao,9
Speech,9
Eastern Europe,9
Iran,9
Clinton,9
Asia Pacific,9
MSU,9
Iceland,9
Polish,9
Summit,9
Biden,9
WTO,8
East Asia,8
the European Union,8
Gulf,8
West Asia,8
the United Nations,8
Shanghai,8
the Shanghai Communiqu,8
Los Angeles,8
Pacific,7
the Asia-Pacific region,7
Jia Qinglin,7
FTA,7
the African Union,7
Americans,7
Indonesia,6
the State Council,6
North-South,6
Kyrgyzstan,6
Kazakhstan,6
Zhou Enlai,6
Peninsula,6
North Africa,6
the Seoul Nuclear Security Summit,6
Barack Obama,6
Korean Peninsula,6
The United States,6
Sino-German,6
Central and Eastern Europe,6
Iowa,6
west Asia,6
HE Hu Jintao,5
CPC,5
Wu Bangguo,5
South-South,5
Tajikistan,5
Eurasia,5
GCC,5
Mongolian,5
the Shanghai Cooperation Organization,5
East Asian,5
Northeast Asia,5
Mexican,5
Seoul,5
Geithner,5
Russians,5
the United Kingdom,5
the UN Security Council,5
the CPC Central Committee,5
the South China Sea,5
UAE,5
CPC National Congress,4
Hong Kong,4
Dear Colleagues,4
TPP,4
America,4
Councilor Dai Bingguo,4
CPPCC,4
the International Monetary Fund,4
Asia-Europe,4
ASEF,4
Party,4
Pan-Asian,4
Brussels,4
Ningxia,4
the Shanghai Cooperation Organization SCO,4
South Asia,4
Central Asian,4
the UN Charter,4
solidarity,4
Confucius,4
Sino-Japanese,4
Deng Xiaoping,4
the Millennium Development Goals,4
Putin,4
Syrian,4
Ethiopian,4
France,4
Angela Merkel,4
Reforma,4
Wang Qishan,4
Uzbekistan,4
Hillary Clinton,4
London,4
Xi Jinpings,4
Li Keqiang,4
the Hanover Industrial Fair,4
Central and,4
British,4
Britain,4
the Republic of Korea,4
Cambodian,4
the Assembly of the African Union,4
Macao,3
Ecotech,3
Doha,3
Indonesian,3
the G Los Cabos Summit,3
the European Central Bank,3
ASEM,3
HE Xi Jinping,3
Guangxi,3
Jose Manuel Barroso,3
the China-EU Summit,3
HE Li Keqiang,3
Yinchuan,3
Hun Sen,3
Dear Friends,3
China-Africa Local Government Cooperation,3
The Asia-Pacific,3
the United Nations Charter,3
the G Summit,3
Brazilian,3
Meles Zenawi,3
French,3
the Council of Heads,3
the Shanghai Spirit,3
