noun_phrase,count
china,852
xi jinping,107
asean,87
general secretary,74
initiative,69
brics,69
asia,58
economic globalization,46
africa,45
forum,41
cee,41
peninsula,39
win-win cooperation,36
cpc,33
us $,33
congress,32
common development,30
international community,30
international cooperation,29
china-asean,29
xi,28
international relations,27
li,27
world peace,25
silk,25
ladies,24
gentlemen,24
sustainable development,23
china-us,23
global governance,22
korean peninsula,22
dprk,22
apt,22
mr.,22
rmb,21
global economy,21
chinese economy,20
chinese features,20
nuclear issue,19
international organizations,18
fourth,18
chinese government,18
gdp,18
's diplomacy,17
global growth,17
mutual benefit,17
thank,17
colleagues,17
economic growth,16
joint efforts,16
europe,16
coc,16
central committee,15
african,15
smes,15
communist party,14
new era,14
chinese dream,14
chinese people,14
regional countries,14
agenda,14
dear,14
major countries,13
mutual respect,13
eu,13
taiwan,13
major-country diplomacy,13
's development,13
mutual learning,13
comrade xi jinping,12
chinese characteristics,12
beijing,12
russia,12
china-europe,12
rok,12
global governance system,12
internet,12
eaec,12
national renewal,12
hong kong,12
charter,11
regional cooperation,11
practical cooperation,11
japan,11
foreign policy,11
asia-pacific,11
security cooperation,11
security council,11
investment liberalization,11
recent years,11
's economy,11
peaceful development,11
poverty reduction,11
september,11
new type,11
international landscape,10
world 's,10
mutual understanding,10
thanks,10
south-south,10
countries,10
chinese companies,10
supply-side structural reform,10
common interests,10
joint statement,10
's external work,10
new ground,9
industrial capacity,9
common ground,9
china-russia,9
xiamen summit,9
china-africa,9
exchange rate,9
global trade,9
dear colleagues,9
security council resolutions,9
zero-sum game,8
may,8
human progress,8
trump,8
mutual trust,8
meeting,8
shanghai,8
economic community,8
afghanistan,8
state-to-state relations,8
guided,8
political settlement,8
china-ceec,8
innovation,8
regional integration,8
eas,8
economic development,8
international affairs,8
new drivers,8
au,8
mass entrepreneurship,8
’ s development,8
diplomatic work,7
new form,7
new ideas,7
development strategies,7
global development,7
regional peace,7
economic cooperation,7
trade area,7
new progress,7
lmc,7
hotspot issues,7
financial cooperation,7
people-to-people exchange,7
external work,7
centenary goals,7
doc,7
partnership,7
national conditions,7
november,7
new growth drivers,7
together,7
people 's,7
us dollars,7
new round,7
new technologies,7
chinese market,7
new jobs,7
according,7
free trade,7
central government,7
brf,6
geneva,6
world economy,6
beneficial cooperation,6
early date,6
major country,6
common prosperity,6
new impetus,6
strategic partnership,6
comprehensive,6
rcep,6
road cooperation,6
corridor,6
expo,6
constructive role,6
investment cooperation,6
innovation-driven development,6
steady growth,6
new urban jobs,6
foreign exchange reserves,6
foreign investment,6
own development,6
infrastructure,6
local governments,6
people-to-people exchanges,6
year 's,6
maritime silk,6
open world economy,6
such cooperation,6
new opportunities,6
large number,6
trillion us dollars,6
