noun_phrase,count
china,2401
africa,357
asia,255
african,181
asean,133
win-win cooperation,124
china-africa,120
ladies,111
gentlemen,108
xi jinping,106
common development,97
chinese people,92
afghanistan,92
international community,91
eu,90
international relations,85
asia-pacific,82
europe,77
rok,76
silk,74
pakistan,73
us $,71
internet,71
li keqiang,68
charter,67
sco,67
world peace,66
china-us,61
chinese economy,59
america,59
sustainable development,58
thank,58
world economy,58
brics,57
member states,56
vietnam,56
new type,54
maritime silk,54
dear,53
china-eu,53
singapore,51
china-asean,50
economic growth,49
forum,49
dear colleagues,48
chinese government,48
practical cooperation,48
70th anniversary,47
india,47
rmb,46
production capacity,45
economic development,44
people 's republic,44
beijing,42
xi,41
mutual benefit,39
fourth,39
caribbean,39
common interests,39
prime,38
international order,36
's development,36
aiib,35
people 's,35
south-south,35
year marks,35
japan,35
distinguished,34
social development,34
g20,34
new model,34
global economy,34
world 's,33
wang yi,33
mutual learning,33
afghan,33
summit,33
september,33
development strategies,31
people-to-people exchanges,31
tazara,31
gdp,30
brazil,30
korean peninsula,30
chinese dream,30
peaceful development,30
china-celac forum,30
countries,29
france,29
recent years,29
cee,29
common destiny,29
mutual trust,28
china-vietnam,28
focac,28
asian countries,28
hong kong,27
anti-fascist,27
joint efforts,27
mutual respect,27
great pleasure,27
international cooperation,27
production capacity cooperation,27
south asian countries,27
mutual understanding,26
economic belt,26
apec,26
cpc,25
infrastructure,25
international law,25
chinese companies,25
h.e,25
november,25
initiative,24
meeting,24
shanghai,24
's economy,24
nuclear issue,24
road initiative,24
joint statement,24
economic cooperation,24
environmental protection,24
active part,23
global growth,23
world war,23
political mutual trust,23
ceecs,23
china-pakistan,23
paris,23
bilateral relations,23
together,22
investment bank,22
regional cooperation,22
russia,22
your excellency,22
arctic,22
mr.,22
dialogue,22
central committee,21
agenda,21
ebola,21
zimbabwe,21
prosperous society,20
syrian,20
international organizations,20
downward pressure,20
infrastructure development,20
's diplomacy,20
new era,20
beneficial cooperation,20
african countries,20
ukraine,20
security council,19
communist party,18
political settlement,18
constructive role,18
iranian,18
sudan,18
us dollars,18
ministry,18
cultural exchanges,18
industrial cooperation,18
china-singapore,18
post-2015 development agenda,18
pakistani,18
overall cooperation,18
five-year,17
structural reform,17
relevant countries,17
relevant parties,17
it,17
economic globalization,17
foreign investment,17
global cooperation,17
's visit,17
ministerial meeting,17
celac,17
green development,17
young people,17
common ground,17
myanmar,17
legitimate rights,16
common prosperity,16
north-south,16
road fund,16
territorial integrity,16
early date,16
sustainable security,16
un security council,16
ii,16
own development,16
state council,16
chinese people 's war,15
internal affairs,15
global development,15
long way,15
european countries,15
indonesia,15
international affairs,15
large number,15
