year,keyword,count
2009.0,count_South_China_Sea,0
2010.0,count_South_China_Sea,7
2011.0,count_South_China_Sea,12
2012.0,count_South_China_Sea,2
2013.0,count_South_China_Sea,27
2014.0,count_South_China_Sea,12
2015.0,count_South_China_Sea,44
2016.0,count_South_China_Sea,132
2017.0,count_South_China_Sea,23
2018.0,count_South_China_Sea,2
2019.0,count_South_China_Sea,18
2020.0,count_South_China_Sea,14
2021.0,count_South_China_Sea,6
2022.0,count_South_China_Sea,57
2023.0,count_South_China_Sea,2
2024.0,count_South_China_Sea,10
2025.0,count_South_China_Sea,3
2005.0,count_Xinjiang,0
2006.0,count_Xinjiang,0
2007.0,count_Xinjiang,0
2008.0,count_Xinjiang,0
2009.0,count_Xinjiang,0
2010.0,count_Xinjiang,1
2011.0,count_Xinjiang,1
2012.0,count_Xinjiang,13
2013.0,count_Xinjiang,2
2014.0,count_Xinjiang,0
2015.0,count_Xinjiang,1
2016.0,count_Xinjiang,1
2017.0,count_Xinjiang,1
2018.0,count_Xinjiang,0
2019.0,count_Xinjiang,21
2020.0,count_Xinjiang,40
2021.0,count_Xinjiang,21
2022.0,count_Xinjiang,11
2023.0,count_Xinjiang,2
2024.0,count_Xinjiang,0
2025.0,count_Xinjiang,1
2005.0,count_India,5
2006.0,count_India,23
2007.0,count_India,4
2008.0,count_India,75
2009.0,count_India,2
2010.0,count_India,52
2011.0,count_India,15
2012.0,count_India,72
2013.0,count_India,75
2014.0,count_India,74
2015.0,count_India,52
2016.0,count_India,21
2017.0,count_India,3
2018.0,count_India,0
2019.0,count_India,5
2020.0,count_India,14
2021.0,count_India,1
2022.0,count_India,3
2023.0,count_India,3
2024.0,count_India,3
2025.0,count_India,0
2005.0,count_Peaceful_Reunification,1
2006.0,count_Peaceful_Reunification,12
2007.0,count_Peaceful_Reunification,3
2008.0,count_Peaceful_Reunification,0
2009.0,count_Peaceful_Reunification,1
2010.0,count_Peaceful_Reunification,0
2011.0,count_Peaceful_Reunification,2
2012.0,count_Peaceful_Reunification,0
2013.0,count_Peaceful_Reunification,1
2014.0,count_Peaceful_Reunification,0
2015.0,count_Peaceful_Reunification,1
2016.0,count_Peaceful_Reunification,0
2017.0,count_Peaceful_Reunification,0
2018.0,count_Peaceful_Reunification,0
2019.0,count_Peaceful_Reunification,1
2020.0,count_Peaceful_Reunification,0
