entity,count
ss,138
sss,34
s-,21
sw,15
ssss,10
-s,8
-ss,6
sssss,4
--,3
-w,3
s-sss,3
-sss,3
ws,3
s-s,3
ss-s,2
--ss,1
ww,1
-ssss,1
sssssws,1
sssw,1
ssssss,1
w-w,1
ssssssssss,1
ss-,1
sw-,1
sssssss,1
