noun_phrase,count
china,1291
xi jinping,166
asean,135
’ s,129
initiative,115
global,109
cpc,101
covid-19,98
asia-pacific,94
gdi,86
sco,82
taiwan,81
asia,74
sustainable development,69
international community,61
africa,61
uzbekistan,57
congress,52
colleagues,51
agenda,50
u.s.,50
win-win cooperation,49
global development,48
chinese people,46
kazakhstan,45
china-asean,44
brics,44
central committee,43
common development,43
ladies,38
gentlemen,38
china-u.s.,38
chinese characteristics,36
world peace,36
people ’ s,36
people ’ s republic,34
thank,33
gsi,31
mutual respect,31
cold,31
true multilateralism,31
g20,31
international cooperation,31
new era,31
international relations,30
mutual benefit,30
general secretary,30
hong kong,30
international organizations,29
international order,29
comrade jiang,29
new journey,28
communist party,27
economic globalization,27
charter,27
social development,26
doc,26
world ’ s,26
gcc,25
comprehensive,25
fourth,25
ukraine,25
south-south,24
arab,24
world economy,24
territorial integrity,24
beijing,23
meeting,23
us $,23
african,23
poverty reduction,23
road cooperation,23
international law,23
h.e,22
chinese nation,22
practical cooperation,22
economic development,22
rcep,22
internal affairs,21
economic recovery,21
forum,21
xi jinping thought,21
covid,21
islamic,21
bloc confrontation,20
peaceful coexistence,20
partnership,20
one-china principle,20
international system,20
peaceful development,20
wang yi,20
’ s development,19
russia,19
afghanistan,19
mutual learning,19
sustainable security,19
human rights,19
shanghai,18
major countries,18
china-us,18
common interests,18
beneficial cooperation,18
china-africa,18
digital economy,18
apt,18
modern socialist country,17
samarkand,17
china-arab,17
war mentality,17
eurasian,17
right direction,17
common values,17
mutual trust,17
high-quality development,17
great pleasure,17
food security,17
regional countries,17
shanghai communiqué,17
global governance,16
high-quality belt,16
open world economy,16
silk,16
recent years,16
market entities,16
member states,16
trillion yuan,16
councilor,15
summit,15
legitimate rights,15
common prosperity,15
biodiversity protection,15
november,15
gdp,15
philippines,15
new circumstances,14
global economy,14
regional cooperation,14
cambodia,14
green development,14
foreign minister,14
energy security,14
global community,14
joint efforts,14
comrade xi jinping,13
new ground,13
xinjiang,13
diplomacy,13
general assembly,13
new development paradigm,13
taiwan strait,13
remarks,13
east asian cooperation,13
mr.,13
china-kazakhstan,13
li,13
opening ceremony,12
cooperation organization,12
together,12
’ s core interests,12
early date,12
new type,12
economic growth,12
cultural exchanges,12
such areas,12
legitimate security,12
deepen cooperation,12
year marks,12
human development,12
ethnic groups,11
heads,11
right way,11
comprehensive strategic partnership,11
international environment,11
diplomatic relations,11
countries,11
20th anniversary,11
parties,11
global economic recovery,11
power politics,11
chinese government,11
china-gcc,11
people 's,11
jiang,11
development path,11
history,11
regional economic integration,11
chinese economy,11
cooperation fund,11
security cooperation,11
development cooperation,11
cica,11
china-uzbekistan,11
high-level dialogue,10
september,10
apec,10
europe,10
development strategies,10
major country,10
chinese path,10
investment liberalization,10
