entity,count
ss,197
sss,25
-ss,22
s-,16
ssssss,16
ssss,14
ws,10
-s,7
sw,3
s-s,2
sssss,2
s-ss,2
ss-s-s,1
s-ws,1
-w,1
--,1
ssw,1
sws,1
wsw,1
sssw,1
-ssss,1
ss-,1
wss,1
