entity,count
ss,163
sss,21
sw,16
-s,13
s-,10
-ss,7
--sss,6
ws,6
ssss,5
--ss,4
sssss,4
s-w,3
s-s,3
-sss,2
--,2
ssssss,1
ssw,1
ww,1
sssssssss,1
s-ssss,1
sssw,1
ws-s,1
sws,1
s--s,1
wss,1
swsss,1
