noun_phrase,count
china,1533
covid-19,350
africa,138
xi jinping,98
international community,90
sco,83
chinese people,79
african,75
china-us,69
wang yi,64
international cooperation,62
international relations,61
cpc,59
global governance,53
china-africa,50
hong kong,48
xi jinping thought,48
fourth,47
who,46
myanmar,46
xi,46
egypt,46
world peace,45
colleagues,45
g20,44
russia,44
sustainable development,41
diplomacy,41
us $,40
international order,39
asean,39
charter,37
people 's republic,37
digital economy,37
world economy,37
mutual respect,36
win-win cooperation,36
global community,35
beneficial cooperation,35
internal affairs,34
xinjiang,34
asia-pacific,34
common development,32
beijing,31
international system,31
's development,31
road cooperation,31
afghanistan,30
agenda,30
global governance system,30
brics,30
thank,29
social development,29
focac,29
international law,28
mutual benefit,28
forum,28
economic globalization,28
new development paradigm,26
new type,26
europe,26
ladies,26
central committee,25
world health organization,25
china-myanmar,25
chinese characteristics,25
people 's,25
economic recovery,24
world 's,24
chinese government,24
global economy,24
diplomatic ties,23
h.e,23
gentlemen,23
global,23
aiib,23
asia,22
common interests,22
international organizations,22
public health,22
together,22
initiative,22
new era,21
eu,21
mr.,21
countries,20
countries need,20
international circulations,20
diplomatic relations,20
distinguished,20
china-u.s.,19
major countries,19
cold,19
taiwan,19
silk,19
global public good,19
xinhua,19
alessandra galloni,19
peaceful coexistence,18
mutual trust,18
paris agreement,18
gdp,18
economic growth,18
prosperous society,18
medical supplies,18
november,18
south-south,18
legitimate rights,18
women 's development,18
un-centered,18
political settlement,18
mekong,18
american people,18
september,17
chinese nation,17
past year,17
ii,17
basic norms,17
peaceful development,17
councilor,17
international landscape,16
apec,16
international affairs,16
data,16
practical cooperation,16
economic development,16
data security,16
wuhan,16
chinese companies,15
world war,15
joint efforts,15
active part,15
general assembly,15
chinese economy,15
bri,15
principles,14
u.s.,14
common ground,14
fundamental interests,14
guided,14
earth,14
facing,14
domestic circulation,14
india,14
comprehensive,14
own interests,14
extensive consultation,14
joint contribution,14
corridor,14
syria,14
global response,14
communist party,13
whole world,13
your excellency,13
new round,13
meeting,13
china-asean,13
foreign ministers,13
open world economy,13
recent years,13
lancang-mekong,13
post-covid era,13
regional countries,13
summit,13
libya,13
chinese side,13
sudden onslaught,12
development path,12
new journey,12
industrial transformation,12
concrete actions,12
green lanes,12
high-quality belt,12
china-eu,12
70th anniversary,12
partnership,12
afghan,12
wto,12
global economic recovery,12
foreign minister,12
security council,12
au,12
early date,12
saudi arabia,12
gender equality,12
zero-sum game,11
bilateral relations,11
new development philosophy,11
territorial integrity,11
open economy,11
national security,11
fast tracks,11
rcep,11
global initiative,11
bilateral ties,11
remarks,11
african countries,11
deepen cooperation,11
economic cooperation,11
member states,11
